crop,N,P,K,pH,rainfall,temperature,humidity
mungbean,4,40,21,6.725551062,44.30070517,28.79728147,80.45744422
mungbean,10,37,22,7.069747814,58.52974279,28.7275267,89.12760359
mungbean,4,44,19,6.921993878,43.25726752,27.95639663,83.52706038
mungbean,20,45,17,6.770955317,37.2464655,28.17458662,83.69659318
mungbean,23,45,23,6.983130466,56.12443206,28.77653519,86.69133979
mungbean,25,48,21,6.267684328,52.55469976,28.438097,83.48991368
blackgram,56,79,15,7.454532137,71.89090748,29.48439992,63.19915325
blackgram,25,62,21,7.040056094,67.15096376,26.73433965,68.13999721
blackgram,42,61,22,7.418650668,70.23207557,26.27274407,62.28814857
blackgram,42,73,25,6.501869314,73.23573601,34.03679184,67.21113844
blackgram,44,58,18,6.814410928,72.49507741,28.03644051,65.06601664
blackgram,50,55,16,7.581442888,62.26242533,28.81460716,65.33538112
blackgram,35,72,21,7.741418772,66.85510868,34.03619494,64.28791388
blackgram,30,64,20,6.573531614,68.02199825,33.8642935,61.57072498
blackgram,27,64,21,7.543804223,73.67166182,32.84213012,68.68401492
blackgram,50,74,17,6.5408208,73.84949872,27.10053268,63.36085585
blackgram,39,73,24,7.22405917,69.28607828,25.65842532,61.18235808
blackgram,57,67,25,7.551364319,64.55882254,32.34744009,66.61452812
blackgram,52,63,19,6.928898659,67.53021213,29.58949031,68.32176769
blackgram,55,66,22,7.747775263,66.63830637,30.91219459,68.79427388
blackgram,51,56,18,6.706505915,70.86340755,28.12787838,64.2097765
blackgram,36,66,15,6.668238556,67.1367443,30.08545364,69.34811988
blackgram,59,55,19,7.332375138,68.97097538,31.74379487,62.51007687
blackgram,50,58,23,7.596802025,69.75555541,27.81326852,62.50460464
blackgram,30,65,25,7.70650895,71.50569456,32.88733849,64.59457409
blackgram,20,62,18,7.366542647,61.91208707,29.36358721,64.98742947
blackgram,58,71,15,6.919243702,74.01229707,27.82592799,67.5861883
blackgram,25,71,24,7.187721818,74.91559514,28.49538735,60.44848407
blackgram,52,71,16,7.075886472,71.78615328,27.74274761,68.53997144
blackgram,40,63,18,6.74441168,63.02473185,30.41588462,67.66323804
blackgram,20,60,25,6.726469088,61.19250859,27.3254209,69.09047809
blackgram,48,61,21,6.628264883,65.62859526,30.28496619,61.69295127
blackgram,49,68,22,7.127064207,63.49726331,28.56840626,61.53278622
blackgram,48,62,15,7.538631462,65.81655892,25.36586097,66.6379724
blackgram,32,66,17,7.162357641,70.1415139,34.9466155,65.26774011
blackgram,21,63,22,6.859409487,74.61649888,25.09737391,67.72837887
blackgram,20,72,19,7.397190844,65.820457,32.47648301,64.34848735
blackgram,25,65,21,6.880245789,69.24464096,33.86351172,68.59232289
blackgram,41,78,21,6.581313137,70.88787207,25.19857725,60.37332688
blackgram,53,67,17,7.296972161,61.46892873,31.77681682,69.01852894
blackgram,39,60,21,6.97297656,64.72797143,34.89814946,63.59948557
blackgram,25,76,17,7.241148507,62.3061735,31.74105409,68.63525428
blackgram,21,78,19,6.92009048,69.85112265,27.16159076,66.76017239
blackgram,57,60,17,7.504608385,73.58663968,26.23773129,67.88521396
blackgram,56,75,15,7.152272256,66.37171179,30.20157245,60.06534859
blackgram,49,72,15,7.137004749,74.86960831,31.55846339,67.83563765
blackgram,24,80,19,6.808041722,65.66436565,29.67892453,69.0854554
blackgram,49,76,18,7.393631868,60.4693835,27.05365239,67.7017527
blackgram,28,68,19,7.69950698,72.43169115,34.63880966,61.38597868
blackgram,55,78,21,6.602888249,63.57445989,33.39438752,62.93692886
blackgram,50,64,25,6.734447425,70.25496749,28.84079155,63.37230676
blackgram,34,80,19,6.521217963,71.48327008,31.49338309,63.0563645
blackgram,20,68,23,7.707332484,63.1830529,25.54960633,63.95425534
blackgram,55,67,16,6.596719015,70.27184748,34.37329112,69.69366426
blackgram,23,70,15,7.403623355,60.41790253,34.6008247,63.11296779
blackgram,53,74,15,7.517097,72.17818157,29.43463808,64.94329356
blackgram,26,67,16,7.17620823,67.83345933,29.10713092,67.90577375
blackgram,33,80,22,6.593961761,70.0866434,28.57006111,65.71765781
blackgram,37,79,19,7.143942758,69.40878198,27.54384835,69.3478631
blackgram,33,75,21,6.690655045,62.30278274,33.04687968,68.93875631
blackgram,22,55,20,7.423530351,61.16350463,33.95309131,69.96100028
blackgram,20,68,17,6.578714843,71.72980375,30.11873003,60.11680815
blackgram,43,68,20,7.497469256,69.43895491,29.57812712,66.17587668
blackgram,44,76,22,7.775306272,68.91754359,27.26458947,68.01232937
blackgram,34,60,16,7.322555223,63.85668948,31.35730791,64.24992106
blackgram,21,72,17,7.580527339,61.71111448,31.52104732,66.55723677
blackgram,25,68,19,7.108450121,67.47677295,29.39982732,64.25510719
blackgram,41,62,15,7.358974541,65.24194361,29.38400259,64.14928485
blackgram,28,65,23,7.405176138,74.24459122,28.38686534,61.88871127
blackgram,35,64,15,6.500144962,69.5274407,28.47442276,63.53604453
blackgram,52,58,16,7.167435834,71.36947525,30.64095781,61.14508627
blackgram,58,75,25,7.261791753,68.64685069,25.25596239,61.36669662
blackgram,34,66,19,7.586642101,73.44678678,32.97030511,60.18122078
blackgram,52,70,16,7.534811833,67.32520551,33.66855394,66.60416867
blackgram,23,57,19,7.251000789,73.40452716,32.83963757,67.99803573
blackgram,42,58,25,6.513620918,69.46020927,27.45853567,62.90020977
blackgram,37,62,17,7.121254928,74.62068748,25.68576704,69.84354028
blackgram,44,75,22,7.574561547,71.21006868,30.0328403,64.14800537
blackgram,21,80,20,7.350869792,64.32887142,28.20667264,68.27085245
blackgram,56,76,16,7.513151076,63.29900785,28.27265858,61.18956161
blackgram,29,76,15,7.025607706,69.68862306,28.5417236,64.2020154
blackgram,43,61,20,6.804253866,63.51822045,26.87187036,61.61367264
blackgram,55,60,15,7.163043872,64.11411069,32.79766751,68.77994074
blackgram,44,63,15,7.338929556,63.46546487,26.42333018,64.51136845
blackgram,29,67,21,6.621323612,63.02169909,29.79181107,63.38789228
blackgram,47,63,16,6.661870999,72.50669768,27.44003279,67.10464369
blackgram,40,68,17,7.733149554,70.40795007,34.1262979,65.14877461
blackgram,58,61,15,7.402891666,62.78730907,30.94908189,64.23364112
blackgram,41,74,18,6.599147298,73.37686831,28.75751783,61.02701476
blackgram,58,79,17,7.04174124,62.31842057,27.24766491,66.10123083
blackgram,27,62,24,7.353876754,62.2737345,28.63005477,66.770943
blackgram,27,60,17,7.026795359,64.42177127,26.41768321,63.64698302
blackgram,52,65,20,6.814301033,68.83924882,32.81705216,66.15665137
blackgram,44,55,25,7.42160832,71.16331975,29.6321052,65.91359954
blackgram,21,62,24,6.847382891,65.45328463,33.49077065,62.73317204
blackgram,60,59,22,7.191522601,74.22238583,31.86847286,66.74217464
blackgram,33,77,21,7.01285529,71.64631281,30.32992227,65.62971858
blackgram,59,58,17,7.368318809,62.83469851,28.546224,66.31394098
blackgram,29,63,17,7.26154329,66.47264636,30.02629908,67.88811637
blackgram,59,63,18,6.52669158,66.69096751,31.65531175,60.13263713
blackgram,29,70,15,6.872594461,74.16699119,30.33499674,63.54718862
blackgram,58,73,16,6.874142175,64.89517488,33.36984395,65.67718163
blackgram,55,77,22,7.76061831,64.77651469,31.4345059,62.99303471
blackgram,42,79,23,6.781841984,68.56507978,27.71678273,63.29103387
blackgram,44,77,21,7.326980454,61.83876146,32.63918668,61.3009051
blackgram,38,62,25,7.453975408,63.37784443,32.7477393,67.77954584
lentil,32,76,15,7.604110177,43.35795377,28.05153602,63.49802189
lentil,13,61,22,7.728832424,46.83130119,19.44084326,63.27771461
lentil,38,60,20,7.491217102,46.80452595,29.84823072,60.63872613
lentil,11,74,17,6.633864582,46.6352865,21.36383757,69.92375891
lentil,37,71,16,7.324863481,46.13833007,26.28663931,68.51966729
lentil,29,71,18,6.410441476,53.46622584,22.17499963,62.13873825
lentil,2,72,18,7.836719564,50.89110726,26.57597546,60.97876599
lentil,6,59,21,6.139215944,50.90994463,26.58972517,66.14007674
lentil,13,64,20,6.590571088,36.46946971,19.1345771,62.57526895
lentil,8,58,17,7.286049978,35.15426171,28.75273118,69.15640149
lentil,6,77,20,6.058306161,49.14337177,25.78746268,60.2816298
lentil,2,75,22,6.658605362,52.55730112,23.89271875,61.78779413
lentil,3,69,23,7.299360767,42.96018627,28.67408774,63.18832976
lentil,27,80,24,7.815210661,49.02366803,28.42062847,61.77336343
lentil,39,78,15,5.925391795,41.78219834,21.35499456,62.60136323
lentil,40,79,17,6.403683619,38.71834464,21.12695586,63.18738532
lentil,37,62,22,7.397546271,49.78102578,24.02037872,61.62313345
lentil,31,60,24,7.722335992,51.92057267,25.40474421,65.8567539
lentil,22,67,22,7.475926645,54.9393771,29.03017561,64.49166566
lentil,3,78,18,6.887130053,50.89732989,20.21368219,68.65257685
lentil,4,80,16,7.441976825,44.93261911,29.19585548,68.01965728
lentil,13,61,24,7.629910253,49.39111479,18.29783597,69.6897615
lentil,12,66,20,7.336117221,44.43177543,27.41434987,63.41785982
lentil,4,61,21,6.75020529,48.77790371,24.84063998,60.09116626
lentil,9,60,21,7.52178027,40.37113729,29.94413861,67.31323084
lentil,18,66,22,6.347379185,47.89645224,25.87990287,67.55109024
lentil,32,56,18,7.135251532,46.05333124,20.0467711,65.84395319
lentil,6,72,15,7.670178119,54.49044154,22.99451999,66.70897237
lentil,15,77,20,7.399749291,49.04015558,25.13163619,66.92642362
lentil,0,65,24,7.841496029,53.14531023,28.49584395,62.44616219
lentil,30,79,22,6.254216611,48.60449438,18.28766124,69.48515056
lentil,3,63,16,6.868881708,53.13946695,24.38041875,61.18458224
lentil,2,78,23,7.320514721,45.42616802,21.31852148,66.43934593
lentil,10,78,18,6.296976913,44.07819743,18.54141834,62.70637578
lentil,14,67,25,7.241151936,49.37369982,25.28710601,60.85993533
lentil,39,65,23,7.685959305,41.02682925,25.43459777,69.12613376
lentil,19,72,15,6.890760124,44.08562546,28.83600962,69.76112921
lentil,18,57,21,6.155915975,49.47371773,27.37659643,63.93927841
lentil,31,58,15,6.167855382,45.36521251,28.31886863,60.19461399
lentil,28,58,25,6.861640036,37.81123974,27.4818649,62.04814951
lentil,5,65,19,6.978361689,48.80253285,18.28072173,68.10365387
lentil,16,65,19,7.043160241,42.72374404,27.61204997,69.29786244
lentil,34,65,19,5.94239222,45.40277297,23.43974653,63.22011726
lentil,14,69,19,7.239455147,52.39881209,20.95628486,63.68128841
lentil,22,55,16,6.516317561,49.73922097,23.7937153,68.03209183
lentil,24,61,17,6.233269045,38.30411077,22.6371424,65.44544859
lentil,2,79,15,7.505283615,35.75107592,21.53577883,65.47227704
lentil,26,63,17,6.950300686,44.95654782,29.87854588,65.73085206
lentil,27,61,15,6.958054839,48.33941188,25.2653291,67.10004577
lentil,24,70,16,6.54803469,35.03484812,25.17885316,68.93307305
lentil,13,74,25,6.461618577,44.23629285,24.12192608,61.09533545
lentil,6,64,23,7.065264073,36.18678721,23.33565221,67.40460704
lentil,12,58,23,6.765091462,50.43306085,21.74600081,63.39503184
lentil,32,79,22,5.91645379,54.37814199,27.60195453,63.46170674
lentil,6,68,18,6.711341147,47.26052494,24.388717,62.50453062
lentil,10,79,20,6.379881442,38.21370568,24.98287462,66.895409
lentil,38,77,22,6.313284268,35.36831423,28.234829,69.3159965
lentil,17,74,17,7.393210848,37.11395801,26.03026959,69.55863145
lentil,26,68,24,7.504930973,37.15824966,28.04849594,64.07691942
lentil,23,75,17,7.198076286,48.28137482,24.87425505,64.00213929
lentil,32,78,22,7.007037515,53.40906048,23.97081395,62.35557553
lentil,19,79,19,6.677262562,42.89509057,20.06003985,67.76252583
lentil,22,60,18,6.74398035,41.7704893,19.59221047,61.28633405
lentil,28,69,16,6.547361618,35.69674138,29.77013109,66.29327012
lentil,1,67,21,6.551577598,48.06491307,27.52135365,60.53657684
lentil,12,67,23,6.585020303,45.49683991,25.62896213,63.14909763
lentil,36,67,20,6.924042372,53.31508572,20.39078312,60.47528931
lentil,28,70,21,7.437373666,39.18374505,25.39038396,60.4989659
lentil,12,71,19,7.142611056,42.19740397,24.91079638,60.71367427
lentil,22,68,16,7.74672376,37.46160727,27.70496805,63.20915034
lentil,26,66,22,6.300479414,51.54922825,18.06486101,65.1034354
lentil,16,65,16,6.078724107,50.6128521,18.13027797,62.45851612
lentil,14,59,22,6.76660668,46.90725077,23.82723528,67.89815262
lentil,33,59,19,7.641024177,49.55213308,23.19305333,62.74710773
lentil,21,63,17,6.559681838,41.45486619,25.08966129,68.17543102
lentil,0,69,21,7.072923306,36.68284038,25.86928193,61.88321072
lentil,10,75,17,7.732194788,39.00992137,18.43966037,68.05394959
lentil,30,61,18,6.157782589,52.50812701,27.14911056,67.02664337
lentil,0,74,17,7.240988401,47.01510708,23.33375853,64.50515776
lentil,35,74,22,6.898905799,42.87274897,26.7230014,62.96841833
lentil,7,63,24,6.818681086,53.04669416,19.55750776,64.45268309
lentil,9,56,17,6.261937875,46.48280681,26.13708256,66.7729209
lentil,14,74,15,6.493036868,49.94043064,27.99990346,65.57653373
lentil,14,76,20,7.042474679,36.5011366,29.05941162,62.10652364
lentil,36,65,16,7.692013657,50.17067771,25.71269843,64.1123333
lentil,28,67,21,6.250994223,46.62370222,21.79792649,63.73086065
lentil,28,79,16,6.052184881,53.12442925,24.70626432,60.26854183
lentil,40,61,22,7.002216044,44.23913012,20.94981756,65.8108757
lentil,10,70,19,7.272427638,41.61080544,24.84918386,68.98088448
lentil,12,80,19,5.962001484,36.10211371,21.91041045,65.21662467
lentil,37,77,20,7.080506001,51.02372773,25.93381964,68.70533022
lentil,0,67,22,6.593798387,51.56461082,29.82112112,69.4073209
lentil,7,73,25,7.28805662,45.20841071,27.52185591,63.13215259
lentil,10,56,18,7.32710972,46.10585191,27.99627907,68.6428593
lentil,39,70,15,6.366355781,47.9271552,20.76774783,63.90164154
lentil,26,56,22,7.011121216,52.60285259,23.05276444,60.424786
lentil,9,77,17,6.280725549,38.07659414,21.65845777,63.58337146
lentil,4,59,19,7.621494566,40.8106299,26.25070298,67.62779652
lentil,34,73,15,7.630424083,53.10207889,20.97195263,63.83179889
lentil,33,77,15,7.802212437,40.74536757,23.89736406,66.32102048
pomegranate,2,24,38,5.922935513,111.9684622,24.55981624,91.63536236
pomegranate,6,18,37,5.937649578,108.0458926,19.65690085,89.93701023
pomegranate,8,26,36,6.804781106,102.5184759,18.78359608,87.4024767
pomegranate,37,18,39,6.424670614,110.2316633,24.1469628,94.5110662
pomegranate,0,27,38,6.738016221,109.3905998,22.44581266,89.90147027
pomegranate,31,25,38,6.497366677,109.4169192,24.96273236,92.40501423
pomegranate,21,21,38,6.327673765,104.8955643,22.5526059,89.3259486
pomegranate,6,30,40,6.36137446,106.9659201,22.77035608,91.45498527
pomegranate,25,27,41,6.923509371,108.0423555,19.20090378,94.27659596
pomegranate,15,11,38,6.630646083,109.3930157,23.12808226,92.68328358
pomegranate,14,5,36,5.832525853,104.7693804,24.92639065,85.19098079
pomegranate,16,10,41,6.738993954,105.7595811,24.77464458,85.63608688
pomegranate,36,7,37,5.782435567,108.3168858,19.8671184,86.35590206
pomegranate,4,20,41,6.537042717,104.5375109,24.26601316,93.7974061
pomegranate,29,22,40,6.145104401,107.6836871,23.62600218,89.73266695
pomegranate,16,15,42,6.890784045,108.5468633,19.67832052,89.08935702
pomegranate,18,27,41,7.175344328,104.8216333,22.36509395,92.30882391
pomegranate,11,18,42,5.938528744,102.8593382,21.57936934,94.88267728
pomegranate,5,15,38,5.709380472,108.0756727,18.26233221,88.16779129
pomegranate,18,23,44,6.184400085,105.6499907,23.71028128,89.61794165
pomegranate,9,8,40,6.553509673,111.6631582,22.48720144,89.9224883
pomegranate,40,27,45,5.885638185,112.4349689,21.6602498,94.79397419
pomegranate,22,23,44,6.143874691,107.3416913,20.13037175,89.31505137
pomegranate,9,16,39,6.101198974,105.1834976,18.41164435,91.11927248
pomegranate,12,29,40,6.594037135,111.2818551,19.68291173,89.75272999
pomegranate,0,17,42,6.859840821,109.0946323,23.20242586,91.19442671
pomegranate,2,21,44,6.56893406,102.8013275,18.92157197,87.31290342
pomegranate,28,6,40,6.769855664,106.8704803,22.10621387,91.34039616
pomegranate,8,23,44,7.130837931,108.4758509,18.47412402,89.68919664
pomegranate,29,16,36,5.740338002,102.860084,19.81069447,88.92944254
pomegranate,17,18,43,5.843005428,103.1969341,24.4880844,90.83687246
pomegranate,34,21,42,6.648687274,111.0196744,18.75927679,89.93457597
pomegranate,21,23,42,6.902751061,104.3739878,19.54128063,90.29751796
pomegranate,25,17,40,6.608023872,111.2800516,18.91251245,87.74938524
pomegranate,8,25,36,6.828522375,104.0277061,19.91330523,94.95031368
pomegranate,26,18,42,6.910374919,108.2287276,19.72620525,89.64934166
pomegranate,4,19,42,6.306605528,111.2232716,23.83185873,87.84034604
pomegranate,36,24,41,7.009180374,103.8799347,24.94467632,94.25702672
pomegranate,5,24,40,6.297907579,104.6735454,24.692258,93.87030088
pomegranate,19,17,39,6.728599215,111.2787584,24.72485577,85.56083187
pomegranate,39,30,38,6.965156738,108.065579,20.12644921,87.59629625
pomegranate,5,29,44,5.578095745,104.7847006,21.02432943,93.0569505
pomegranate,4,24,43,7.199504273,109.8695196,22.40423537,88.1508343
pomegranate,38,21,35,5.841367187,110.9653137,20.33691147,89.38003827
pomegranate,37,11,36,6.710143266,106.9216033,24.24779615,85.56033312
pomegranate,9,25,41,5.972714857,109.2853418,24.81530144,91.90842992
pomegranate,29,22,43,5.561851831,106.0380805,19.66329768,87.95158129
pomegranate,5,21,38,6.107054808,112.459697,22.43377991,90.3396556
pomegranate,22,26,38,6.988035315,110.2437841,22.92052307,85.12912161
pomegranate,4,18,37,7.13147457,106.2817706,22.91843172,85.40695044
pomegranate,21,6,41,7.086947687,107.1951707,24.88244467,89.39686219
pomegranate,29,21,45,6.749260456,105.2240743,23.40981539,93.13277
pomegranate,23,5,44,7.16300467,107.5660804,21.20725375,94.26304717
pomegranate,13,7,43,7.013481515,109.6623974,18.20230419,91.12282162
pomegranate,5,13,37,5.648243649,103.3183074,22.34375696,89.7870345
pomegranate,27,24,41,6.610251186,110.4606459,24.32770134,90.88292835
pomegranate,7,23,35,7.054313823,102.5538035,19.75088482,88.71691157
pomegranate,12,20,39,6.026999326,111.0217929,19.86173586,86.19740917
pomegranate,4,19,43,5.779427402,106.3602023,18.07132963,93.14554876
pomegranate,3,9,45,6.535244251,104.617522,23.89162561,89.61850203
pomegranate,1,27,36,5.684995235,104.991282,23.98598756,93.34236582
pomegranate,23,30,44,6.12476108,103.0295938,20.93892916,85.42912869
pomegranate,24,21,42,6.999014379,109.4429934,20.82210727,87.22815682
pomegranate,13,30,37,6.277148771,106.8685636,20.86474944,91.61793636
pomegranate,40,11,44,6.322396027,111.3779693,24.45840036,86.10874614
pomegranate,21,9,40,5.956401828,105.6209954,24.51147697,90.64498715
pomegranate,3,27,44,6.591302797,110.9633894,24.56811204,92.03009222
pomegranate,40,29,42,7.104094929,110.6956184,24.63228709,89.01574455
pomegranate,14,25,40,6.407872061,103.7084055,20.07386547,90.97819712
pomegranate,38,14,37,6.658402594,102.6488846,21.80523051,94.63612858
pomegranate,34,9,36,6.276038961,110.4432293,22.8122645,86.34233767
pomegranate,32,14,37,6.825256236,104.6843243,22.73031253,88.48567856
pomegranate,18,21,35,6.368560522,111.1382096,23.2801227,94.94330457
pomegranate,8,23,38,7.005410734,105.4766591,19.30106297,87.1775172
pomegranate,15,6,41,6.897368477,108.6793978,19.0087067,88.83768149
pomegranate,0,5,36,6.152906502,105.529185,24.35193812,90.88612388
pomegranate,22,9,44,5.744361602,112.1926517,24.72235539,88.87651295
pomegranate,14,8,43,7.051654924,111.7162016,21.92513945,94.46485312
pomegranate,31,11,45,6.034612928,107.6435771,24.83954414,86.88738076
pomegranate,39,17,45,6.924490731,104.88189,18.09691127,90.42177379
pomegranate,10,5,42,6.887005997,109.2537734,20.24104904,91.08706822
pomegranate,8,28,38,6.8444019,105.6917856,23.22594,94.42971362
pomegranate,32,13,42,5.786058032,106.61905,23.50128217,92.97527546
pomegranate,18,9,40,5.627186257,106.1606833,19.44623085,89.02127045
pomegranate,20,27,41,5.700088663,110.5764023,20.51343484,92.51675903
pomegranate,39,25,36,5.567805185,107.6103211,18.90223032,94.99897537
pomegranate,20,7,45,6.077886012,112.4750941,18.90592319,89.24126808
pomegranate,11,10,45,6.397995609,109.0357597,22.63045168,88.45577158
pomegranate,40,18,43,5.767372539,109.9130984,19.38603815,86.79058496
pomegranate,3,26,39,7.079973241,103.6012114,24.38318965,91.19431555
pomegranate,9,16,36,5.893332378,106.977723,23.77989026,92.93386903
pomegranate,30,20,38,7.058222596,110.0932899,22.59890174,93.16343942
pomegranate,40,9,41,5.78270695,106.128338,24.37766782,85.4017118
pomegranate,40,30,35,6.269663963,104.4407083,20.89273273,91.07776977
pomegranate,32,25,35,5.892913826,107.0050976,18.09903225,85.70786282
pomegranate,33,23,45,7.116538883,112.337046,20.00218987,85.83618191
pomegranate,4,14,41,6.430163481,102.8186358,19.85139326,89.80732335
pomegranate,13,17,45,7.159520979,106.2784673,21.25433607,92.65058936
pomegranate,39,24,39,6.431265737,109.8076178,23.65374106,93.32657504
pomegranate,8,28,37,6.082571701,108.3121789,23.88404783,86.20613842
banana,91,94,46,6.149934034,92.82840911,29.36792366,76.24900101
banana,105,95,50,5.849076099,101.0494791,27.33368994,83.67675197
banana,108,92,53,6.276800323,104.9378,27.40053601,82.96221306
banana,86,76,54,5.926824754,90.10978128,29.3159075,80.11585705
banana,80,77,49,5.519088423,113.2297373,26.05433004,79.39654531
banana,93,94,53,6.079178788,114.5357503,25.86632408,84.42379269
banana,90,92,55,6.13465588,97.32531705,27.00932084,80.18546798
banana,108,89,53,5.808497604,99.34482238,29.55054817,78.06762846
banana,108,88,55,5.891458107,113.8729798,26.28845991,83.390039
banana,105,77,52,5.816622479,100.0075679,29.16226551,76.16151562
banana,118,88,52,5.843163161,98.75084366,28.65003945,82.68752542
banana,101,87,54,6.376756633,100.1692639,29.07311132,76.50045221
banana,95,75,50,5.623615687,118.2761894,28.08166093,75.26429821
banana,106,85,53,5.91505509,99.72430835,27.1994597,78.8086068
banana,86,95,49,6.458714879,108.3957179,28.05484146,78.04602887
banana,83,79,55,5.565028635,98.66679427,25.14748006,83.34688193
banana,85,95,47,6.211833161,119.84797,25.94019018,78.3422098
banana,109,79,45,6.490074429,108.66464,27.66752761,79.68542782
banana,100,76,45,5.590236025,102.7867717,25.56703012,75.94067692
banana,117,86,48,6.225225239,116.1616839,28.6956201,82.54195839
banana,114,94,53,6.190757459,118.6858263,26.33544853,76.8532006
banana,110,78,50,5.915568968,98.21747528,25.93730186,78.89864446
banana,94,70,48,6.195152442,91.46442491,25.13686519,84.88394407
banana,80,71,47,6.156373499,105.0776992,27.50527651,80.79783998
banana,114,79,51,6.313197204,112.0700033,26.21009246,82.34429458
banana,88,78,45,6.324270089,92.07835761,29.10403455,79.19588629
banana,112,73,48,5.707488987,90.66727868,29.2440638,77.32017166
banana,117,76,47,6.119216009,93.10247183,25.56202173,77.38229006
banana,111,87,48,5.571401169,98.16752001,26.3985515,81.36028902
banana,89,83,47,5.63127166,109.5408614,28.09577643,77.79586769
banana,93,91,47,6.101241579,117.2878912,27.84767901,83.31110751
banana,92,81,52,6.438137279,94.31102057,27.39341554,81.4654833
banana,105,74,45,6.098369122,119.218154,25.14517635,81.38204104
banana,102,71,48,5.695267822,102.4633775,28.65456263,79.28693687
banana,94,91,51,5.618094446,109.575944,29.16093424,76.67484233
banana,116,71,47,6.435785799,91.34276507,27.57278064,82.0638878
banana,117,79,49,6.176644228,112.9794804,25.40909896,82.36208097
banana,119,72,55,6.220643671,112.0777152,25.99069521,83.33983116
banana,99,73,53,5.871702211,118.6730366,26.29039046,81.06003778
banana,91,84,52,6.390741836,117.536781,29.14827211,78.71024836
banana,80,90,47,6.21084479,107.3944717,26.59743595,79.35898915
banana,101,70,48,6.012696655,116.5531455,25.36059237,75.03193255
banana,108,89,53,5.908770059,112.3982055,29.12036889,80.18080728
banana,100,80,52,6.049801781,110.3262123,27.53911354,77.25629897
banana,109,91,53,6.010095853,110.2511102,29.66727337,83.51014178
banana,82,78,46,5.738678895,110.4408803,25.05802193,84.97323747
banana,106,70,55,5.74055541,116.3019555,25.86824781,78.52399914
banana,90,86,52,5.793260262,119.0856171,25.85036988,81.95580471
banana,83,95,50,5.50947065,108.8547508,26.51682337,77.79913575
banana,119,90,48,5.986442306,118.2583441,28.66725136,79.59242542
banana,107,72,45,5.790768046,91.40508414,28.14938935,81.54448882
banana,116,81,55,5.915546415,95.12322062,26.42313317,83.6995044
banana,101,75,50,6.242528278,109.9825551,26.59386409,81.40740301
banana,93,81,50,6.036079266,102.2099836,27.71822477,76.57853189
banana,95,75,45,5.829898502,109.022564,28.98333432,82.95958244
banana,107,71,55,6.088064451,117.229079,29.42017919,83.96754496
banana,83,94,47,6.469370954,112.1355384,27.39872329,81.10523402
banana,102,73,54,5.720726906,111.0162259,26.4020227,84.41007614
banana,86,79,45,5.80766417,99.20961514,27.81251452,82.69285419
banana,117,86,53,5.703381728,115.8586081,25.19640218,83.55829874
banana,111,79,53,6.165001278,119.695765,28.31193338,75.77363772
banana,95,74,50,6.002481605,110.10323,25.90113128,80.47152737
banana,91,75,55,6.212369363,109.2768851,27.48612983,76.11239849
banana,93,83,46,5.765308943,109.2486647,29.38254012,83.50423735
banana,92,85,51,5.740764682,108.8616474,29.22118628,81.08183635
banana,104,80,54,5.879119455,110.1331182,27.09062164,81.33506906
banana,103,72,51,6.099478745,104.4812858,26.12643374,81.81365007
banana,92,75,45,5.674403359,90.43495443,29.01207743,77.95192527
banana,93,85,49,5.694243847,119.4765557,27.96799119,79.28625709
banana,120,87,52,5.905494703,118.9923573,28.0764455,76.05522115
banana,108,72,46,6.110844721,90.94554618,25.16278237,84.97849241
banana,105,88,54,6.020445317,114.2005455,25.78749808,84.51194224
banana,98,79,50,6.435917308,91.06493353,25.34119774,84.47321314
banana,111,88,55,5.505393833,96.45042585,29.44795403,78.34971537
banana,97,74,45,5.677719902,113.1161095,26.47522633,78.51833782
banana,95,82,48,5.719014989,92.78133617,27.39489579,83.31172003
banana,89,91,55,6.275572298,94.32961456,25.08347445,80.261731
banana,89,85,55,6.275384607,91.73358569,26.6719835,76.48541655
banana,118,88,51,6.201911642,100.6619171,25.44926208,79.49221962
banana,101,92,45,5.758054257,98.00403016,28.22776705,80.6430384
banana,99,92,47,6.323933647,103.5045395,28.1279509,77.48247073
banana,82,77,46,5.901100841,95.83016448,28.9470467,82.1888998
banana,90,86,55,5.644486582,97.55986676,27.96236771,84.15403614
banana,95,88,52,6.235461772,94.68180316,28.00316034,78.90085998
banana,104,73,46,6.28236237,90.45142867,29.1400919,80.1190228
banana,102,73,52,6.356090905,90.24211529,27.9122104,83.36307683
banana,100,74,52,5.837258235,96.47800391,25.43480512,81.53977797
banana,94,89,48,5.653437902,111.0843029,28.55980972,84.51602322
banana,99,70,46,5.727469947,100.5123341,26.59580783,82.99556744
banana,112,87,48,6.200111068,99.46950465,27.19711623,77.3970629
banana,117,82,45,5.614471478,105.4220251,25.29391516,79.29122198
banana,96,86,51,6.257369799,91.99964712,29.90888522,76.98740841
banana,113,85,45,6.037430836,109.0921631,27.94972463,76.63713353
banana,105,93,46,5.760457558,108.3690513,25.01018457,78.76260938
banana,85,89,51,6.158164422,108.5501443,29.21144871,84.70189923
banana,108,94,47,6.387431383,90.81250457,27.35911627,84.54625006
banana,92,81,52,5.891413895,103.7040783,28.0106804,76.52808057
banana,110,71,54,5.725418961,94.37987496,28.67208915,82.20793613
banana,82,75,55,6.281069505,92.15524332,27.34585147,78.4873835
banana,117,81,53,5.507641778,98.12565829,29.50704598,78.20585613
